n,method,graph_seconds,eigensolver_seconds,post_kmeans_seconds,total_seconds,affinity_bytes,embedding_bytes,ari
150,spectral,0.0025546639999447507,0.00432685600003424,0.013919484999973974,0.020801004999952966,24220,2400,1.0
150,kmeans,0.0,0.0,0.019360108000000764,0.019360108000000764,0,0,0.23826912543363155
300,spectral,0.00257771999997658,0.04172320099996796,0.013752883000051952,0.05805380399999649,50860,4800,1.0
300,kmeans,0.0,0.0,0.021165781999911815,0.021165781999911815,0,0,0.23428454756734854
600,spectral,0.004529558000058387,0.23181913799999165,0.015142565000019204,0.25149126100006924,105436,9600,1.0
600,kmeans,0.0,0.0,0.026429899000049772,0.026429899000049772,0,0,0.25209598162646163
900,spectral,0.005067217000032542,0.49201284100001885,0.01525788999992983,0.5123379479999812,160900,14400,1.0
900,kmeans,0.0,0.0,0.025496111000052224,0.025496111000052224,0,0,0.27423481606613664
