dataset,family,graph,alpha,base_distance,sigma,gamma,eigen_index,eigenvalue_lsym,k_true,true_k_gap,predicted_k_largest_gap,graph_seconds,accuracy,ari,nmi,purity,error
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,1,9.495488179075021e-17,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,2,1.41506130229326e-05,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,3,0.003156680020525075,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,4,0.053684613088694724,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,5,0.07644032168710714,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,6,0.10934098147577627,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,7,0.1422531411780359,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,8,0.1565875520068811,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,9,0.2096475826701052,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,10,0.22385468705996955,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,11,0.22881897633226292,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.1,2.5571704210202393,0.25571704210202395,7.646288139949908,12,0.232211856292417,3,0.05052793306816965,8.0,0.0033365409999959184,0.97,0.9143783788618063,0.8852739985837133,0.97,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,1,-8.959652714890995e-16,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,2,0.001719483774362201,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,3,0.028064413017161408,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,4,0.223105273368031,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,5,0.290530263489003,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,6,0.41171974697612423,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,7,0.4968772711330314,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,8,0.5193014531565235,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,9,0.6064361272508418,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,10,0.6580104439623566,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,11,0.6902020192518931,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.2,2.5571704210202393,0.5114340842040479,1.911572034987477,12,0.7057529766154695,3,0.1950408603508696,3.0,0.00417120800000248,0.96,0.8875872174048157,0.8595605187691776,0.96,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,1,8.704454979645784e-17,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,2,0.04362583042195952,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
