dataset,family,graph,n_neighbors,repeat,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_0136,digits,dense_rbf_reference,,0,0.7,6.943346022123644,0.010371280649819053,0.10674454099999986,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696,0.1301790839999999,0.08908066700000017,0.3260042919999999,94.10592234555797,
digits_0136,digits,dense_rbf_reference,,1,0.7,6.943346022123644,0.010371280649819053,0.060257542,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653746,0.9447513812154696,0.12768129199999967,0.09881970800000017,0.28675854199999984,94.10592234555797,
digits_0136,digits,dense_rbf_reference,,2,0.7,6.943346022123644,0.010371280649819053,0.06552533300000007,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696,0.19743812500000013,0.11948295799999986,0.38244641600000007,94.10592234555797,
digits_0136,digits,dense_rbf_reference,,3,0.7,6.943346022123644,0.010371280649819053,0.06351870800000015,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653746,0.9447513812154696,0.22040333400000023,0.12216637499999994,0.4060884170000003,94.10592234555796,
digits_0136,digits,dense_rbf_reference,,4,0.7,6.943346022123644,0.010371280649819053,0.07318783299999998,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653746,0.9447513812154696,0.15688333300000012,0.12482012500000028,0.3548912910000004,94.10592234555797,
digits_0136,digits,knn_rbf,2.0,0,0.7,2.464913726091404,0.08229369409374719,0.014864667000000331,29300,2200,0.5082872928176796,0.4802768020507207,0.6238426676728954,0.5124309392265194,0.2371602909999999,0.011453249999999748,0.263478208,9.748607578802957,
digits_0136,digits,knn_rbf,2.0,1,0.7,2.464913726091404,0.08229369409374719,0.0024761250000002732,29300,2200,0.5441988950276243,0.46802948630327756,0.6053109498305077,0.5441988950276243,0.2278476249999999,0.011785749999999595,0.24210949999999976,9.497109883025114,
digits_0136,digits,knn_rbf,2.0,2,0.7,2.464913726091404,0.08229369409374719,0.002593292000000247,29300,2200,0.5441988950276243,0.46802948630327756,0.6053109498305077,0.5441988950276243,0.2300365409999996,0.011946500000000526,0.24457633300000037,9.497109883025114,
digits_0136,digits,knn_rbf,2.0,3,0.7,2.464913726091404,0.08229369409374719,0.002470584000000109,29300,2200,0.5441988950276243,0.46802948630327756,0.6053109498305077,0.5441988950276243,0.23141300000000076,0.01258758300000018,0.24647116700000105,9.497109883025114,
digits_0136,digits,knn_rbf,2.0,4,0.7,2.464913726091404,0.08229369409374719,0.0030521669999998835,29300,2200,0.5441988950276243,0.46802948630327756,0.6053109498305077,0.5441988950276243,0.2330239160000005,0.011832124999999749,0.24790820800000013,9.497109883025114,
digits_0136,digits,knn_rbf,3.0,0,0.7,2.5584180220475705,0.07638832602265884,0.0027062920000000545,41156,3188,0.30662983425414364,0.005874673474370257,0.09729781516933574,0.30939226519337015,0.1463863750000005,0.016049624999999956,0.16514229200000052,0.9795102949104463,
digits_0136,digits,knn_rbf,3.0,1,0.7,2.5584180220475705,0.07638832602265884,0.0036587910000003276,41156,3188,0.30662983425414364,0.005874673474370257,0.09729781516933574,0.30939226519337015,0.15280579200000055,0.018862041999999413,0.1753266250000003,0.9795102949104463,
digits_0136,digits,knn_rbf,3.0,2,0.7,2.5584180220475705,0.07638832602265884,0.0035826249999999504,41156,3188,0.30662983425414364,0.005874673474370257,0.09729781516933574,0.30939226519337015,0.16087479199999954,0.01492387500000003,0.17938129199999953,0.9795102949104463,
digits_0136,digits,knn_rbf,3.0,3,0.7,2.5584180220475705,0.07638832602265884,0.003620916999999224,41156,3188,0.30662983425414364,0.005874673474370257,0.09729781516933574,0.30939226519337015,0.15073595800000028,0.013803124999999916,0.16815999999999942,0.9795102949104463,
digits_0136,digits,knn_rbf,3.0,4,0.7,2.5584180220475705,0.07638832602265884,0.003896541000000475,41156,3188,0.30662983425414364,0.005874673474370257,0.09729781516933574,0.30939226519337015,0.15253495899999958,0.013810166999999929,0.17024166699999999,0.9795102949104463,
