failure_mode,dataset,n_neighbors,accuracy,ari,nmi,purity
too_few_neighbors_fragmentation,moons,2,0.86,0.5160028765584725,0.4297713713188507,0.86
bridge_connection,bridge,14,0.8716666666666667,0.5518463605662874,0.5537899609558614,0.8716666666666667
varying_density_imbalance,density_imbalance,10,0.9658536585365853,0.9100062223485201,0.872448846480152,0.9658536585365853
