dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_01,digits,dense_rbf,5.0,9.96630173373514,49.831508668675696,0.0002013547748324432,,0.01588400000000023,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.02196016700000003,0.04729158300000025,0.08513575000000051,12.218802287104243,
digits_01,digits,knn_rbf,0.1,4.438492055901602,0.44384920559016017,2.538043787777831,16.0,0.004987584000000211,98500,8088,0.6666666666666666,0.10867078358141789,0.08307346188657384,0.6666666666666666,0.0439672080000002,0.048785333999999736,0.09774012600000015,126.02056621309333,
digits_01,digits,knn_rbf,0.2,4.438492055901602,0.8876984111803203,0.6345109469444578,16.0,0.01177362500000001,98884,8120,0.5694444444444444,0.018346438449013337,0.08365000794472251,0.5694444444444444,0.046338875,0.029600083000000055,0.08771258300000007,7.461349114765029,
digits_01,digits,knn_rbf,0.35,4.438492055901602,1.5534722195655606,0.20718724798186375,16.0,0.021881708,98884,8120,0.5694444444444444,0.018443941054930895,0.11283822189164458,0.5694444444444444,0.015490207999999672,0.042758375000000015,0.08013029099999969,2.1888747020122166,
digits_01,digits,knn_rbf,0.5,4.438492055901602,2.219246027950801,0.10152175151111323,16.0,0.007055999999999951,98884,8120,0.5722222222222222,0.019994796825346002,0.11643591661086476,0.5722222222222222,0.05524370799999989,0.0282912500000001,0.09059095799999994,0.7277620771307608,
digits_01,digits,knn_rbf,0.7,4.438492055901602,3.106944439131121,0.05179681199546594,16.0,0.005192500000000155,98884,8120,0.9972222222222222,0.988888814745925,0.9751786102885643,0.9972222222222222,0.015767707999999825,0.013204707999999954,0.034164915999999934,13.617609256901641,
digits_01,digits,knn_rbf,0.7071067811865475,4.438492055901602,3.138487830970643,0.050760875755556635,16.0,0.004096125000000228,98884,8120,0.9972222222222222,0.988888814745925,0.9751786102885643,0.9972222222222222,0.011246250000000124,0.013558999999999877,0.02890137500000023,12.114288152043626,
digits_01,digits,knn_rbf,1.0,4.438492055901602,4.438492055901602,0.025380437877778307,16.0,0.004059083000000019,98884,8120,1.0,1.0,1.0,1.0,0.011927709000000064,0.034935250000000195,0.05092204200000028,2.1495181266277092,
digits_01,digits,knn_rbf,1.4,4.438492055901602,6.213888878262242,0.012949202998866484,16.0,0.002812624999999791,98884,8120,1.0,1.0,1.0,1.0,0.0121745419999999,0.02367804100000015,0.03866520799999984,1.295242277775228,
digits_01,digits,knn_rbf,2.0,4.438492055901602,8.876984111803203,0.006345109469444577,16.0,0.0044683330000001575,98884,8120,1.0,1.0,1.0,1.0,0.013117084000000112,0.03632662500000006,0.053912042000000326,1.3832758221882129,
