dataset,family,expectation,method,accuracy,ari,nmi,purity,graph_seconds,eigensolver_seconds,kmeans_seconds,total_seconds,param_sigma_mode,param_sigma,param_gamma,param_n_neighbors
digits_01,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,spectral,0.9972222222222222,0.988888814745925,0.9751786102885643,0.9972222222222222,0.0021141250000000777,0.012447584000000012,0.03679404200000014,0.05135575100000023,median_retained_edge_scale,3.1384878822093065,0.0507608740981219,16.0
digits_01,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,kmeans,0.9944444444444445,0.9778395211173349,0.9503820053288754,0.9944444444444445,,,0.08248816600000008,,,,,
digits_17,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,spectral,1.0,1.0,1.0,1.0,0.0036182089999998723,0.016148041999999974,0.016630375000000086,0.03639662599999993,median_retained_edge_scale,3.606617922700171,0.03843879203922301,24.0
digits_17,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,kmeans,1.0,1.0,1.0,1.0,,,0.13314475000000003,,,,,
digits_0136,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,spectral,0.9558011049723757,0.891240658502897,0.894185787261624,0.9558011049723757,0.025142416,0.33204600000000006,0.018643707999999926,0.375832124,median_retained_edge_scale,2.9521112055840124,0.05737260610374424,10.0
digits_0136,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,kmeans,0.9350828729281768,0.8376612196515375,0.8223932492511193,0.9350828729281768,,,0.10490458299999994,,,,,
digits_all,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,spectral,0.8436282693377852,0.7883680837159538,0.8510453377281331,0.85920979410128,0.023244624999999797,2.693554208,0.17073008300000048,2.8875289160000004,median_retained_edge_scale,3.0856293764150773,0.052514892798093085,10.0
digits_all,digits,Digits form semantically meaningful but imperfect clusters; graph construction matters strongly here.,kmeans,0.5893155258764607,0.4679268850431874,0.6263600587940679,0.6232609905397886,,,0.17158254099999937,,,,,
